horodatage,profil,secondes_ecoulees,fps_moyen,fps_1pct_low,fps_01pct_low,frametime_moyen_ms,frametime_median_ms,frametime_pire_ms,frames_echantillonnees,memoire_geree_mo,alloc_mo_par_s,acteurs_fixedupdate,acteurs_update,acteurs_lateupdate,modules_actifs,lod_pct_evite,note
2026-08-16 17:49:40,custom,8.0,117.15,107.08,24.07,8.536,8.334,41.550,938,100.73,2.873,4,9,0,lod,71.1,ab lod=on
2026-08-16 17:49:45,custom,13.0,116.63,105.70,24.07,8.574,8.334,41.550,1024,94.25,2.996,4,9,0,lod,70.1,ab lod=on
2026-08-16 17:49:50,custom,18.0,117.63,106.55,28.45,8.501,8.334,35.146,1024,108.61,2.957,4,9,0,lod,69.2,ab lod=on
2026-08-16 17:49:55,custom,23.0,117.91,107.67,27.94,8.481,8.334,35.791,1024,102.05,2.890,4,9,0,lod,68.4,ab lod=on
2026-08-16 17:50:00,custom,28.0,117.95,108.45,27.86,8.478,8.334,35.894,1024,95.66,2.240,4,9,0,lod,67.6,ab lod=on
2026-08-16 17:50:10,custom,38.0,117.88,107.09,27.21,8.483,8.334,36.757,944,103.62,2.878,4,9,0,aucun,67.2,ab lod=off
2026-08-16 17:50:15,custom,43.0,117.40,105.89,27.81,8.518,8.334,35.964,1024,97.00,2.609,4,9,0,aucun,67.2,ab lod=off
2026-08-16 17:50:20,custom,48.0,116.63,105.59,27.81,8.574,8.334,35.964,1024,111.90,3.088,7,12,0,aucun,67.2,ab lod=off
2026-08-16 17:50:25,custom,53.0,117.18,105.59,28.35,8.534,8.334,35.276,1024,104.03,2.464,10,15,0,aucun,67.2,ab lod=off
2026-08-16 17:50:30,custom,58.0,117.25,105.78,24.37,8.529,8.334,41.032,1024,99.59,3.363,10,15,0,aucun,67.2,ab lod=off
2026-08-16 17:50:40,custom,68.0,115.86,103.01,20.10,8.631,8.334,49.759,927,93.69,6.179,66,86,1,lod,63.7,ab lod=on
2026-08-16 17:50:45,custom,73.0,116.32,104.95,22.32,8.597,8.334,44.794,1024,100.25,10.219,127,178,6,lod,59.1,ab lod=on
2026-08-16 17:50:50,custom,78.0,114.49,74.71,22.32,8.734,8.334,44.794,1024,111.59,8.202,128,179,6,lod,53.8,ab lod=on
2026-08-16 17:50:55,custom,83.0,113.78,80.06,23.35,8.789,8.335,42.822,1024,102.59,10.858,128,180,6,lod,51.6,ab lod=on
2026-08-16 17:51:00,custom,88.0,107.52,65.63,20.07,9.301,8.669,49.819,1024,94.36,10.362,240,374,6,lod,50.5,ab lod=on
2026-08-16 17:51:10,custom,98.0,112.19,79.49,17.87,8.914,8.361,55.957,898,97.29,12.114,217,358,6,aucun,50.7,ab lod=off
2026-08-16 17:51:15,custom,103.0,108.72,71.80,17.16,9.198,8.525,58.282,1024,98.43,10.174,268,436,6,aucun,50.7,ab lod=off
2026-08-16 17:51:20,custom,108.0,102.08,59.37,17.16,9.797,9.150,58.282,1024,96.73,11.331,187,316,1,aucun,50.7,ab lod=off
2026-08-16 17:51:25,custom,113.0,99.75,63.56,16.85,10.025,9.571,59.349,1024,104.60,15.891,137,236,1,aucun,50.7,ab lod=off
2026-08-16 17:51:30,custom,118.1,102.14,61.56,16.85,9.791,9.298,59.349,1024,112.87,16.675,214,353,1,aucun,50.7,ab lod=off
2026-08-16 17:51:40,custom,128.0,106.55,66.87,18.86,9.385,8.748,53.024,853,112.07,15.915,209,350,1,lod,52.9,ab lod=on
