horodatage,profil,secondes_ecoulees,fps_moyen,fps_1pct_low,fps_01pct_low,frametime_moyen_ms,frametime_median_ms,frametime_pire_ms,frames_echantillonnees,memoire_geree_mo,alloc_mo_par_s,acteurs_fixedupdate,acteurs_update,acteurs_lateupdate,note
2026-08-16 16:26:00,safe,5.0,186.61,133.95,65.46,5.359,5.380,15.277,931,48.19,1.203,121,126,0,auto
2026-08-16 16:26:05,safe,10.0,168.78,130.48,62.02,5.925,5.958,16.123,1024,46.88,0.994,121,126,0,auto
2026-08-16 16:26:10,safe,15.0,165.82,128.86,66.59,6.031,6.057,15.018,1024,45.85,1.072,117,122,0,auto
2026-08-16 16:26:15,safe,20.0,199.48,146.52,66.59,5.013,5.005,15.018,1024,48.87,1.475,116,121,0,auto
2026-08-16 16:26:20,safe,25.0,228.31,162.99,78.34,4.380,4.419,12.764,1024,46.12,1.566,116,121,0,auto
2026-08-16 16:26:25,safe,30.0,222.42,162.24,73.02,4.496,4.550,13.695,1024,46.63,1.507,116,121,0,auto
2026-08-16 16:26:30,safe,35.0,228.80,162.86,74.62,4.371,4.419,13.400,1024,47.42,1.411,116,121,0,auto
2026-08-16 16:26:35,safe,40.0,223.14,155.82,65.51,4.481,4.519,15.265,1024,48.00,1.526,116,121,0,auto
2026-08-16 16:26:40,safe,45.0,228.09,173.27,74.86,4.384,4.420,13.358,1024,48.74,1.595,116,121,0,auto
2026-08-16 16:26:45,safe,50.0,236.38,165.08,74.33,4.230,4.246,13.453,1024,46.29,1.633,116,121,0,auto
2026-08-16 16:26:50,safe,55.0,235.78,169.04,69.25,4.241,4.280,14.441,1024,45.91,1.515,116,121,0,auto
2026-08-16 16:26:55,safe,60.0,224.38,154.89,71.73,4.457,4.492,13.941,1024,46.41,1.555,115,120,0,auto
2026-08-16 16:27:00,safe,65.0,210.55,144.80,70.09,4.749,4.773,14.268,1024,46.63,1.448,115,120,0,auto
2026-08-16 16:27:05,safe,70.0,225.86,169.20,70.96,4.428,4.452,14.092,1024,47.20,1.300,114,119,0,auto
2026-08-16 16:27:10,safe,75.0,222.81,167.03,66.40,4.488,4.515,15.060,1024,47.76,1.444,114,119,0,auto
2026-08-16 16:27:15,safe,80.0,234.80,175.70,78.17,4.259,4.298,12.793,1024,48.65,1.621,114,119,0,auto
2026-08-16 16:27:20,safe,85.0,235.52,169.40,83.05,4.246,4.283,12.042,1024,46.23,1.613,114,119,0,auto
2026-08-16 16:27:25,safe,90.0,236.34,176.70,73.06,4.231,4.237,13.687,1024,47.21,1.323,114,119,0,auto
2026-08-16 16:27:30,safe,95.0,239.14,179.42,60.00,4.182,4.186,16.666,1024,48.26,1.648,114,119,0,auto
2026-08-16 16:27:35,safe,100.0,237.88,167.11,74.94,4.204,4.202,13.344,1024,46.11,1.568,114,119,0,auto
2026-08-16 16:27:40,safe,105.0,242.06,180.51,74.75,4.131,4.159,13.377,1024,47.13,1.203,114,119,0,auto
2026-08-16 16:27:45,safe,110.0,221.41,160.49,72.40,4.517,4.544,13.812,1024,47.85,1.434,114,119,0,auto
2026-08-16 16:27:50,safe,115.0,223.03,152.48,73.36,4.484,4.525,13.632,1024,48.49,1.505,114,119,0,auto
2026-08-16 16:27:55,safe,120.0,226.14,163.45,59.40,4.422,4.450,16.834,1024,45.91,1.365,114,119,0,auto
2026-08-16 16:28:00,safe,125.0,240.35,166.78,78.87,4.161,4.169,12.679,1024,46.68,1.636,114,119,0,auto
2026-08-16 16:28:05,safe,130.0,239.36,159.20,72.88,4.178,4.180,13.721,1024,47.88,1.562,114,119,0,auto
2026-08-16 16:28:10,safe,135.0,243.02,170.35,73.25,4.115,4.126,13.652,1024,45.95,1.420,114,119,0,auto
2026-08-16 16:28:15,safe,140.0,248.14,172.38,74.59,4.030,4.030,13.406,1024,47.01,1.732,114,119,0,auto
2026-08-16 16:28:20,safe,145.0,251.66,177.64,78.46,3.974,3.936,12.746,1024,48.55,1.660,114,119,0,auto
2026-08-16 16:28:25,safe,150.1,241.24,165.46,71.30,4.145,4.153,14.026,1024,46.43,1.588,114,119,0,auto
2026-08-16 16:28:30,safe,155.1,228.06,162.79,73.56,4.385,4.406,13.594,1024,47.21,1.250,114,119,0,auto
2026-08-16 16:28:35,safe,160.1,231.27,165.18,72.99,4.324,4.322,13.701,1024,48.13,1.557,114,119,0,auto
2026-08-16 16:28:40,safe,165.1,226.45,139.68,31.93,4.416,4.305,31.317,1024,60.05,1.683,114,119,0,auto
2026-08-16 16:28:45,safe,170.1,237.98,188.09,74.18,4.202,4.187,13.481,1024,53.44,1.642,114,119,0,auto
2026-08-16 16:28:50,safe,175.1,247.00,190.07,21.84,4.049,3.989,45.786,1024,80.21,12.395,114,119,0,auto
2026-08-16 16:28:56,safe,181.3,232.72,141.72,7.54,4.297,4.080,132.630,1024,104.96,10.683,26,31,0,auto
2026-08-16 16:29:01,safe,186.3,137.37,122.58,0.56,7.280,5.258,1773.870,1024,108.33,10.413,24,27,0,auto
