horodatage,profil,secondes_ecoulees,fps_moyen,fps_1pct_low,fps_01pct_low,frametime_moyen_ms,frametime_median_ms,frametime_pire_ms,frames_echantillonnees,memoire_geree_mo,alloc_mo_par_s,acteurs_fixedupdate,acteurs_update,acteurs_lateupdate,modules_actifs,lod_pct_evite,note
2026-08-16 17:05:29,custom,5.0,117.41,104.64,75.33,8.517,8.335,13.276,587,47.20,0.812,123,129,0,aucun,0.0,auto
2026-08-16 17:05:34,custom,10.0,117.44,105.34,75.33,8.515,8.335,13.276,1024,47.72,0.812,119,124,0,aucun,0.0,auto
2026-08-16 17:05:39,custom,15.0,117.40,105.38,75.71,8.518,8.335,13.209,1024,48.22,0.811,119,124,0,aucun,0.0,auto
2026-08-16 17:05:44,custom,20.0,117.23,103.79,75.71,8.530,8.335,13.209,1024,48.73,0.818,119,124,0,aucun,0.0,auto
2026-08-16 17:05:49,custom,25.0,117.13,103.72,83.36,8.538,8.335,11.996,1024,48.42,0.807,115,120,0,aucun,0.0,auto
2026-08-16 17:05:54,custom,30.0,117.08,103.43,76.93,8.541,8.335,13.000,1024,48.92,0.828,115,120,0,aucun,0.0,auto
2026-08-16 17:05:59,custom,35.0,117.16,104.84,76.93,8.536,8.335,13.000,1024,46.06,0.814,115,120,0,aucun,0.0,auto
2026-08-16 17:06:04,custom,40.0,117.13,105.27,77.64,8.537,8.336,12.879,1024,46.35,0.841,115,120,0,aucun,0.0,auto
2026-08-16 17:06:09,custom,45.0,116.91,104.60,77.64,8.553,8.368,12.879,1024,46.81,0.660,115,120,0,aucun,0.0,auto
2026-08-16 17:06:14,custom,50.0,117.17,104.72,79.79,8.535,8.338,12.533,1024,47.32,0.802,115,120,0,aucun,0.0,auto
2026-08-16 17:06:19,custom,55.0,117.23,105.46,83.91,8.530,8.341,11.918,1024,47.82,0.811,111,115,0,aucun,0.0,auto
2026-08-16 17:06:24,custom,60.0,117.41,105.49,83.91,8.517,8.336,11.918,1024,48.32,0.804,110,114,0,aucun,0.0,auto
2026-08-16 17:06:29,custom,65.1,117.39,105.37,83.81,8.518,8.335,11.932,1024,48.84,0.824,110,114,0,aucun,0.0,auto
2026-08-16 17:06:34,custom,70.1,117.43,105.63,84.91,8.516,8.335,11.777,1024,46.07,0.804,110,114,0,aucun,0.0,auto
2026-08-16 17:06:39,custom,75.1,117.34,105.92,80.97,8.522,8.335,12.350,1024,46.32,0.824,110,114,0,aucun,0.0,auto
2026-08-16 17:06:44,custom,80.1,117.20,105.80,80.97,8.532,8.338,12.350,1024,46.80,0.639,110,114,0,aucun,0.0,auto
2026-08-16 17:06:49,custom,85.1,116.85,105.15,51.24,8.558,8.350,19.516,1024,47.30,0.806,110,114,0,aucun,0.0,auto
2026-08-16 17:06:58,custom,94.1,113.82,104.80,6.50,8.786,8.351,153.937,1024,102.96,3.867,266,503,10,aucun,0.0,auto
2026-08-16 17:07:03,custom,99.1,64.15,51.24,0.19,15.587,8.736,5311.359,1024,107.97,14.224,266,503,10,aucun,0.0,auto
2026-08-16 17:07:08,custom,104.1,58.65,37.00,0.19,17.049,11.265,5311.359,1024,134.66,13.132,266,503,10,aucun,0.0,auto
2026-08-16 17:07:13,custom,109.1,82.35,61.62,20.31,12.144,11.991,49.237,1024,122.13,12.824,266,503,10,aucun,0.0,auto
2026-08-16 17:07:18,custom,114.1,82.39,63.23,20.31,12.138,11.981,49.237,1024,110.97,11.891,266,506,10,aucun,0.0,auto
2026-08-16 17:07:23,custom,119.1,82.42,63.73,19.76,12.133,11.983,50.604,1024,99.79,13.029,266,506,10,aucun,0.0,auto
2026-08-16 17:07:28,custom,124.2,81.92,64.18,19.76,12.208,12.041,50.604,1024,124.43,12.741,266,506,10,aucun,0.0,auto
2026-08-16 17:07:33,custom,129.2,81.72,61.95,19.68,12.237,12.072,50.817,1024,111.96,11.872,266,502,10,aucun,0.0,auto
2026-08-16 17:07:38,custom,134.2,81.86,61.66,18.36,12.216,12.053,54.467,1024,100.83,13.067,266,502,10,aucun,0.0,auto
2026-08-16 17:07:43,custom,139.2,82.10,62.85,18.36,12.180,11.978,54.467,1024,126.76,13.092,266,499,10,aucun,0.0,auto
2026-08-16 17:07:48,custom,144.2,82.49,60.81,18.36,12.123,11.871,54.467,1024,114.45,12.448,266,498,10,aucun,0.0,auto
2026-08-16 17:07:53,custom,149.2,82.47,61.52,19.65,12.125,11.910,50.899,1024,103.11,13.324,266,498,10,aucun,0.0,auto
2026-08-16 17:07:58,custom,154.2,82.57,62.76,19.65,12.112,11.917,50.899,1024,129.71,13.207,266,498,10,aucun,0.0,auto
2026-08-16 17:08:03,custom,159.2,82.08,60.64,17.90,12.183,12.015,55.871,1024,116.49,12.767,266,498,10,aucun,0.0,auto
2026-08-16 17:08:09,custom,164.2,81.06,57.20,5.48,12.337,11.919,182.517,1024,117.44,14.236,196,284,0,aucun,0.0,auto
2026-08-16 17:08:14,custom,169.2,82.13,55.25,5.48,12.175,11.726,182.517,1024,116.87,14.890,200,296,0,aucun,0.0,auto
2026-08-16 17:08:19,custom,174.2,82.61,55.25,14.81,12.106,11.773,67.509,1024,118.84,14.674,198,299,0,aucun,0.0,auto
2026-08-16 17:08:24,custom,179.2,85.55,58.82,15.28,11.689,11.312,65.436,1024,118.38,15.170,201,308,0,aucun,0.0,auto
2026-08-16 17:08:29,custom,184.2,87.44,55.54,13.52,11.436,11.017,73.975,1024,130.83,17.281,127,205,0,aucun,0.0,auto
