horodatage,profil,secondes_ecoulees,fps_moyen,fps_1pct_low,fps_01pct_low,frametime_moyen_ms,frametime_median_ms,frametime_pire_ms,frames_echantillonnees,memoire_geree_mo,alloc_mo_par_s,acteurs_fixedupdate,acteurs_update,acteurs_lateupdate,modules_actifs,lod_pct_evite,note
2026-08-16 17:12:04,custom,5.0,75.13,23.96,18.12,13.311,13.866,55.192,376,91.22,12.259,262,394,3,lod,51.8,auto
2026-08-16 17:12:09,custom,10.0,72.26,24.07,18.12,13.839,14.378,55.192,723,94.31,11.639,137,227,4,lod,51.2,auto
2026-08-16 17:12:14,custom,15.0,70.88,24.07,16.04,14.109,13.988,62.352,1024,103.71,13.102,137,228,4,lod,50.9,auto
2026-08-16 17:12:19,custom,20.0,71.93,21.48,15.55,13.902,13.394,64.292,1024,92.87,11.736,137,228,4,lod,50.8,auto
2026-08-16 17:12:24,custom,25.0,80.20,24.05,15.55,12.468,12.744,64.292,1024,96.04,0.797,143,229,6,lod,49.9,auto
2026-08-16 17:12:29,custom,30.0,96.94,25.10,21.40,10.315,9.464,46.722,1024,109.90,18.117,145,234,6,lod,51.3,auto
2026-08-16 17:12:34,custom,35.0,102.39,58.14,21.86,9.766,9.179,45.740,1024,95.39,18.117,155,245,8,lod,52.4,auto
2026-08-16 17:12:39,custom,40.0,95.99,23.07,21.86,10.417,9.842,45.740,1024,109.40,0.659,296,432,8,lod,53.0,auto
2026-08-16 17:12:44,custom,45.0,91.59,24.41,21.77,10.919,10.105,45.941,1024,103.69,11.218,293,423,7,lod,54.0,auto
2026-08-16 17:12:49,custom,50.0,87.27,23.39,19.08,11.459,10.676,52.411,1024,99.41,1.586,146,233,8,lod,54.9,auto
2026-08-16 17:12:54,custom,55.0,81.78,22.23,18.64,12.228,11.488,53.656,1024,103.18,16.524,146,233,8,lod,55.2,auto
2026-08-16 17:12:59,custom,60.0,88.08,23.87,18.61,11.354,10.834,53.737,1024,99.35,0.818,147,231,7,lod,55.2,auto
2026-08-16 17:13:04,custom,65.1,91.75,23.17,18.61,10.899,10.313,53.737,1024,94.30,1.348,141,225,6,lod,55.2,auto
2026-08-16 17:13:09,custom,70.1,94.55,23.21,18.61,10.577,9.882,53.737,1024,93.34,9.185,139,223,6,lod,55.4,auto
2026-08-16 17:13:14,custom,75.1,96.40,23.29,19.24,10.374,9.767,51.987,1024,92.80,4.103,143,230,7,lod,55.6,auto
2026-08-16 17:13:19,custom,80.1,98.74,24.81,19.24,10.128,9.639,51.987,1024,108.46,15.538,143,230,7,lod,55.9,auto
2026-08-16 17:13:24,custom,85.1,96.17,24.81,19.24,10.398,9.838,51.987,1024,93.32,0.771,220,339,5,lod,55.7,auto
2026-08-16 17:13:29,custom,90.1,91.95,23.39,19.66,10.875,10.240,50.876,1024,107.25,0.418,136,222,5,lod,55.6,auto
2026-08-16 17:13:34,custom,95.1,93.72,23.60,20.00,10.671,10.106,49.989,1024,102.36,2.362,133,218,4,lod,55.6,auto
2026-08-16 17:13:39,custom,100.1,98.51,23.60,16.98,10.152,9.516,58.888,1024,97.52,1.466,206,322,1,lod,55.9,auto
2026-08-16 17:13:44,custom,105.1,93.55,22.70,16.98,10.689,10.158,58.888,1024,103.58,16.173,128,214,1,lod,55.8,auto
2026-08-16 17:13:49,custom,110.1,99.29,25.13,16.95,10.071,9.186,59.006,1024,94.33,16.173,128,215,1,lod,55.9,auto
2026-08-16 17:13:54,custom,115.1,111.39,26.52,16.95,8.978,8.334,59.006,1024,106.87,18.191,128,215,1,lod,55.9,auto
