horodatage,profil,secondes_ecoulees,fps_moyen,fps_1pct_low,fps_01pct_low,frametime_moyen_ms,frametime_median_ms,frametime_pire_ms,frames_echantillonnees,memoire_geree_mo,alloc_mo_par_s,acteurs_fixedupdate,acteurs_update,acteurs_lateupdate,modules_actifs,lod_pct_evite,note
2026-08-16 16:49:21,custom,4.2,66.82,17.78,2.60,14.966,13.161,383.931,303,95.88,13.643,266,509,10,lod,62.8,auto
2026-08-16 16:49:26,custom,9.2,74.82,19.37,2.60,13.365,12.226,383.931,714,88.82,17.395,266,509,10,lod,57.8,auto
2026-08-16 16:49:31,custom,14.2,87.29,36.05,13.83,11.456,10.847,72.320,1024,101.31,7.714,742,1072,10,lod,66.2,auto
2026-08-16 16:49:36,custom,19.2,88.08,47.78,13.83,11.353,10.749,72.320,1024,102.79,11.826,473,559,0,lod,70.2,auto
2026-08-16 16:49:41,custom,24.2,79.35,30.00,10.68,12.603,12.184,93.649,1024,96.93,6.667,266,506,10,lod,73.2,auto
2026-08-16 16:49:46,custom,29.2,77.56,45.57,10.68,12.894,12.503,93.649,1024,90.98,13.225,266,512,10,lod,68.7,auto
2026-08-16 16:49:51,custom,34.2,76.64,45.57,16.04,13.049,12.552,62.350,1024,91.66,14.751,324,595,10,lod,67.5,auto
2026-08-16 16:49:56,custom,39.2,87.79,49.07,16.04,11.390,10.758,62.350,1024,94.83,15.305,217,282,0,lod,67.3,auto
2026-08-16 16:50:01,custom,44.2,92.52,48.07,17.27,10.809,10.315,57.889,1024,99.95,14.604,173,220,0,lod,66.2,auto
2026-08-16 16:50:06,custom,49.2,102.03,63.12,17.39,9.801,9.397,57.494,1024,111.48,14.609,169,218,0,lod,65.0,auto
2026-08-16 16:50:11,custom,54.2,106.36,67.71,18.50,9.402,9.020,54.057,1024,111.57,15.362,150,190,0,lod,64.9,auto
2026-08-16 16:50:16,custom,59.2,94.98,42.06,16.64,10.529,9.972,60.087,1024,90.65,12.962,269,511,10,lod,63.6,auto
2026-08-16 16:50:21,custom,64.3,88.72,37.34,15.78,11.272,10.601,63.364,1024,103.91,9.413,269,511,10,lod,62.5,auto
2026-08-16 16:50:26,custom,69.3,87.82,53.66,15.78,11.387,10.969,63.364,1024,106.76,14.645,266,508,10,lod,61.4,auto
2026-08-16 16:50:31,custom,74.3,89.87,50.72,16.52,11.128,10.628,60.519,1024,90.79,13.960,266,508,10,lod,60.6,auto
2026-08-16 16:50:36,custom,79.3,90.74,51.47,15.09,11.021,10.357,66.288,1024,96.90,14.089,266,510,10,lod,59.7,auto
2026-08-16 16:50:41,custom,84.3,91.38,51.47,15.09,10.943,10.357,66.288,1024,108.88,16.987,266,508,10,lod,59.7,auto
2026-08-16 16:50:46,custom,89.3,83.68,42.93,0.85,11.951,10.256,1181.725,1024,98.54,13.872,118,124,0,lod,60.2,auto
2026-08-16 16:50:51,custom,94.3,241.36,162.30,51.83,4.143,4.082,19.293,1024,105.79,1.590,118,124,0,lod,60.6,auto
2026-08-16 16:50:56,custom,99.3,221.47,165.07,39.02,4.515,4.537,25.628,1024,88.23,0.934,118,124,0,lod,61.0,auto
2026-08-16 16:51:01,custom,104.3,201.73,158.94,33.66,4.957,4.920,29.707,1024,86.96,0.082,118,124,0,lod,61.4,auto
