[17:05:04.643] === session demarree, SROptimizer 0.1.0 ===
[17:05:04.645] config : profil=custom lod=False ab=False unlockFrameRate=False
[17:05:04.796] etat : privee 0 Mo | travail 0 Mo | unity 437 Mo | geree 31 Mo | acteurs 123 | fps 145
[17:05:06.802] etat : privee 0 Mo | travail 0 Mo | unity 447 Mo | geree 46 Mo | acteurs 123 | fps 120
[17:05:08.809] etat : privee 0 Mo | travail 0 Mo | unity 447 Mo | geree 47 Mo | acteurs 123 | fps 120
[17:05:10.815] etat : privee 0 Mo | travail 0 Mo | unity 447 Mo | geree 46 Mo | acteurs 123 | fps 120
[17:05:12.815] etat : privee 0 Mo | travail 0 Mo | unity 447 Mo | geree 47 Mo | acteurs 123 | fps 120
[17:05:14.823] etat : privee 0 Mo | travail 0 Mo | unity 447 Mo | geree 46 Mo | acteurs 123 | fps 120
[17:05:16.830] etat : privee 0 Mo | travail 0 Mo | unity 447 Mo | geree 47 Mo | acteurs 123 | fps 120
[17:05:18.831] etat : privee 0 Mo | travail 0 Mo | unity 448 Mo | geree 49 Mo | acteurs 123 | fps 119
[17:05:20.838] etat : privee 0 Mo | travail 0 Mo | unity 447 Mo | geree 47 Mo | acteurs 123 | fps 112
[17:05:22.844] etat : privee 0 Mo | travail 0 Mo | unity 448 Mo | geree 48 Mo | acteurs 123 | fps 120
[17:05:24.850] etat : privee 0 Mo | travail 0 Mo | unity 447 Mo | geree 46 Mo | acteurs 123 | fps 120
[17:05:26.859] etat : privee 0 Mo | travail 0 Mo | unity 448 Mo | geree 48 Mo | acteurs 123 | fps 120
[17:05:28.866] etat : privee 0 Mo | travail 0 Mo | unity 447 Mo | geree 46 Mo | acteurs 123 | fps 120
[17:05:30.872] etat : privee 0 Mo | travail 0 Mo | unity 448 Mo | geree 48 Mo | acteurs 123 | fps 120
[17:05:32.877] etat : privee 0 Mo | travail 0 Mo | unity 447 Mo | geree 46 Mo | acteurs 120 | fps 120
[17:05:34.879] etat : privee 0 Mo | travail 0 Mo | unity 448 Mo | geree 47 Mo | acteurs 119 | fps 119
[17:05:36.880] etat : privee 0 Mo | travail 0 Mo | unity 447 Mo | geree 46 Mo | acteurs 119 | fps 120
[17:05:38.888] etat : privee 0 Mo | travail 0 Mo | unity 448 Mo | geree 47 Mo | acteurs 119 | fps 120
