[17:11:39.061] === session demarree, SROptimizer 0.1.0 ===
[17:11:39.064] config : profil=custom lod=True ab=False unlockFrameRate=False
[17:11:39.242] etat : privee 830 Mo | travail 862 Mo | unity 437/563 Mo | geree 32 Mo | acteurs 122 | fps 152
[17:11:41.243] etat : privee 889 Mo | travail 910 Mo | unity 447/577 Mo | geree 47 Mo | acteurs 122 | fps 120
[17:11:43.251] etat : privee 1517 Mo | travail 1551 Mo | unity 863/983 Mo | geree 58 Mo | acteurs 122 | fps 56
[17:11:48.710] etat : privee 1922 Mo | travail 1932 Mo | unity 1049/1298 Mo | geree 95 Mo | acteurs 147 | fps 120
[17:11:50.717] etat : privee 1967 Mo | travail 1996 Mo | unity 1029/1303 Mo | geree 98 Mo | acteurs 124 | fps 113
[17:11:52.726] etat : privee 1973 Mo | travail 2005 Mo | unity 1027/1303 Mo | geree 91 Mo | acteurs 124 | fps 111
[17:11:54.725] etat : privee 1974 Mo | travail 2006 Mo | unity 1028/1304 Mo | geree 107 Mo | acteurs 131 | fps 120
[17:11:56.731] etat : privee 1971 Mo | travail 2002 Mo | unity 1028/1304 Mo | geree 101 Mo | acteurs 131 | fps 120
[17:11:58.735] etat : privee 1971 Mo | travail 2002 Mo | unity 1030/1304 Mo | geree 100 Mo | acteurs 261 | fps 120
[17:12:00.744] etat : privee 1972 Mo | travail 2003 Mo | unity 1030/1304 Mo | geree 94 Mo | acteurs 259 | fps 82
[17:12:02.748] etat : privee 1993 Mo | travail 2021 Mo | unity 1031/1306 Mo | geree 97 Mo | acteurs 262 | fps 66
[17:12:04.765] etat : privee 1995 Mo | travail 2024 Mo | unity 1031/1306 Mo | geree 105 Mo | acteurs 262 | fps 64
[17:12:06.771] etat : privee 1998 Mo | travail 2027 Mo | unity 1030/1306 Mo | geree 107 Mo | acteurs 255 | fps 83
[17:12:08.778] etat : privee 1999 Mo | travail 2028 Mo | unity 1028/1306 Mo | geree 93 Mo | acteurs 137 | fps 60
[17:12:10.779] etat : privee 1998 Mo | travail 2027 Mo | unity 1030/1306 Mo | geree 101 Mo | acteurs 137 | fps 72
[17:12:12.795] etat : privee 1998 Mo | travail 2028 Mo | unity 1030/1306 Mo | geree 107 Mo | acteurs 137 | fps 71
[17:12:14.795] etat : privee 1998 Mo | travail 2029 Mo | unity 1030/1306 Mo | geree 96 Mo | acteurs 137 | fps 79
[17:12:16.797] etat : privee 1986 Mo | travail 2017 Mo | unity 1030/1306 Mo | geree 103 Mo | acteurs 137 | fps 77
[17:12:18.803] etat : privee 1986 Mo | travail 2017 Mo | unity 1029/1306 Mo | geree 111 Mo | acteurs 137 | fps 69
[17:12:20.806] etat : privee 2001 Mo | travail 2031 Mo | unity 1029/1306 Mo | geree 99 Mo | acteurs 137 | fps 109
[17:12:22.817] etat : privee 2001 Mo | travail 2032 Mo | unity 1028/1306 Mo | geree 92 Mo | acteurs 139 | fps 106
[17:12:24.848] etat : privee 2001 Mo | travail 2032 Mo | unity 1029/1306 Mo | geree 92 Mo | acteurs 145 | fps 25
[17:12:26.854] etat : privee 2001 Mo | travail 2032 Mo | unity 1029/1306 Mo | geree 110 Mo | acteurs 145 | fps 100
